Sscofpmf,Count overlow & Filtering,hpm counter overflow & privilege mode filtering,priv,,,,y,2021,,n,n,n,n,o,n,n,m,n,m,,,,,n,n,dev,dev,,,,,dev
Sscounterenw,profiles,"For any hpmcounter that is not read-only zero, the corresponding bit in scounteren must be writable.",priv,,,,n,2023,,n,n,m,n,o,n,n,m,n,m,,,,,n,n,,,,,,,
Sscsrind,,Indirect CSR Access (S/VS-mode),priv,,,,y,2024,,n,n,n,n,n,n,n,n,,,,,,,,n,,,,,,,
Ssctr,CTR,Supervisor portion of Smctr,priv,,,,n,2024,Oct,n,n,n,n,n,n,n,n,n,n,,,,,y,y,,,,,,,
Ssdbltrp,Double Trap,"Handling of trap inside trap hanlder (""double"" trap)  [see also Sddbltrp and Smdbltrp]",priv,,,,n,(2024),,n,n,n,n,n,n,n,?,n,?,,,,,,,,,,,,,
Ssdtso,Ssdtso,dynamic total store ordering (see also Ztso),unpriv,,,Ztso,n,,,n,n,n,n,n,o,?,?,?,?,,,,,y,y,,,,,,,
Sshpmcfg,,"per ARC, June 2023: merged into Ssccfg ",priv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ssnpm,Zpm,"pointer masking
(formerly named ""Ssnjpm"", and before that part of ""Zjpm"")",priv,,,,n,2024,,n,n,n,n,n,n,n,o,n,o,,n,m,,n,n,,,,,,,
Ssptead,,(renamed Svade),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sspm,,Pointer masking in S-mode code,priv,,Smnpm?,,n,2024,,n,n,n,n,n,n,n,o,n,o,,n,?,,,,,,,,,,
Ssqosid,,Supervisor Quality of Service ID,priv,,Ss1p14,,y,2024,June,n,n,n,n,n,n,n,n,n,n,,,,,n,n,,,,,,,
Ssstateeen,State Enable,Supervisor-mode view of the state-enable extension,priv,,H,,y,2021,,n,n,n,n,i,n,n,i,n,i,,,,,n,n,,,,,,,
Ssstrict,,_____________,priv,,,,n,2024,,n,n,n,n,n,n,n,o,n,o,,,,,,,,,,,,,
Sstc,time cmp,stimecmp/vstimecmp - s-mode timers so don't need M-mode sbi call,priv,,,,y,2021,,n,n,n,n,o,n,n,m,n,m,,,,,n,n,dev,,,,,,dev
Sstvala,profiles,"stval must be written with the faulting virtual address for load, store, and instruction page-fault, access-fault, and misaligned exceptions, and for breakpoint exceptions other than those caused by execution of the ebreak or c.ebreak instructions. For illegal-instruction exceptions, stval must be written with the faulting instruction.",priv,,,,n,2023,,n,n,m,n,m,n,n,m,n,m,,,,,dev,n,,,,,,,
Sstvecd,profiles,"stvec.MODE must be capable of holding the value 0 (Direct). When stvec.MODE=Direct, stvec.BASE must be capable of holding any valid four-byte-aligned address.",priv,,,,n,2023,,n,n,m,n,m,n,n,m,n,m,,,,,n,n,,,,,,,
Sstvecv,profiles,stvec.MODE=Vectored Hardware Trap Vectoring.,priv,,,,n,2023,,n,n,n,n,n,n,n,n,n,n,,,,,n,n,,,,,,,
Ssu32xl,profiles,sstatus.UXL=32,priv,,,,n,2023,,n,n,o,n,n,n,n,n,n,n,,,,,y,y,,,,,,,
Ssu64xl,profiles,sstatus.UXL=64,priv,,,,n,2023,,n,n,o,n,o,n,n,m,n,m,,,,,y,y,,,,,,,
Ssube,priv 1.11,sstatus.ube=1 Big-endian user-space.,priv,,,,y,2021,,n,n,n,n,n,n,n,n,n,n,,,,,n,n,,,,,,,
Supm,Zpm,Pointer masking in U-mode code,unpriv,,Ssnpm?,,n,2024,,n,n,n,n,n,n,n,o,n,o,,n,?,,,,,,,,,,
Sv32,,Page-Based 32-bit Virtual-Memory System.,priv,,,,y,2019?,,n,n,,n,,,n,,n,,,,,,,y,,,,,,,
Sv39,priv 1.11,Page-Based 39-bit Virtual-Memory System.,priv,,S-mode,,y,2019,,n,n,m,n,m,n,n,m,n,m,,,,,dev,y,y,y,n/a,,,,dev
Sv48,priv 1.11,page based 48 bit VM,priv,,S-mode,,y,2019,,n,n,o,n,o,n,n,o,n,o,,,,,dev,y,y,y,n/a,,,,y
Sv57,priv 1.12,page based 57 bit VM,priv,,S-mode,,y,2021,,n,n,n,n,o,n,n,o,n,o,,,,,n,n,y,,,,,,y
Svade,profiles,"Page-fault exceptions are raised when a page is accessed when A bit is clear, or written when D bit is clear (renamed from Ssptead)",priv,,H,,n,2023,,n,n,?,n,?,n,n,m,n,m,,,,,n,y,,,,,,,
Svadu,Svadu,a/d bits update,priv,,,,n,2022,,n,n,n,n,o,n,n,o,n,o,,,,,n,y,,,,,,,
Svbare,profiles,direct map not VM translation,priv,,,,n,2023,,n,n,m,n,m,n,n,m,n,m,,,,,n,y,,,,,,,
Svinval,priv 1.12,fast multi-sfence.vma's,priv,,Ss1p12,,y,2021,,n,n,n,n,m,n,n,m,n,m,,,,,n,dev,y,y,,,,,y
Svnapot,priv 1.12,napot translation contiguity,priv,,Ss1p12,,y,2021,,n,n,n,n,o,n,n,m,n,m,,,,,n,dev,y,y,,,,,
Svpbmt,priv 1.12,"page-based memory types (e.g. cacheable, uncacheable, etc.)",unpriv,,Ss1p12,,y,2021,,n,n,n,n,m,n,n,m,n,m,,,,,n,n,y,y,,,,,
Svukte,,Address-Independent Latency of User-Mode Faults to Supervisor Addresses,priv,,,,n,,,n,n,n,n,n,n,n,n,n,n,,,?,,,,,,,,,,
Svvptc,,SFENCE.VMA not needed in certain trap handlers (for performance).  One possible implementation is to never cache invalid PTEs. Behavioral-only extension (defines no instructions or CSRs).,priv,,,,y,2024,June,n,n,n,n,n,n,n,?,,?,,,?,,,,,,,,,,
U,,vector,unpriv,,,,y,,,n,n,n,m,?,?,m,?,m,?,X,m,?,,,,,,,,,,
V,V,,unpriv,,Zicsr?,,y,2021,,n,n,n,o,o,o,m,m,o,o,,m,m,,n,y,,,,,,,
Za128rs,profiles,"Reservation sets must be contiguous, naturally aligned, and at most 128 bytes in size.",unpriv,,,,n,2023,,n,m,m,n,n,n,n,n,n,n,,,,,n,n,,,,,,,
Za64rs,profiles,"Reservation sets must be contiguous, naturally aligned, and at most 64 bytes in size.",unpriv,,,,n,2023,,n,n,n,m,m,o,m,m,m,m,,,,,n,n,,,,,,,
Zaamo,A,AMOs,unpriv,,,,y,2024,25 Apr,p,p,p,p,p,o,p,p,p,p,,,,,n,y,,,,,,,
Zabha,,Bye & Halfword atomics ,unpriv,,,,y,2024,25 Apr,n,n,n,n,n,,o,o,o,o,,,,,,y,,,,,,,
Zacas,,Atomic CAS (Compare-And-Swap),unpriv,,,,n,2023,,n,n,n,n,n,o,o,o,o,o,,m,m,,,dev,,,,,,,
Zalrsc,A,LR/Store Conditional atomics,unpriv,,,,y,2024,25 Apr,p,p,p,p,p,o,p,p,p,p,,,,,n,y,,,,,,,
Zama16b,,"Misaligned loads, stores, and AMOs to main memory regions that do not cross a naturally aligned 16-byte boundary are atomic.",unpriv,,,,y,?,,n,n,n,n,n,o,m,m,m,m,,,,,,n,,,,,,,
Zawrs,Zawrs,wait on reservation set,unpriv,,Zalrsc,,y,2022,,n,n,n,n,n,?,o,o,o,o,,,,,n,dev,,,GCC 13,,,,
Zba,bitmanip Zb[abcs],address generation,unpriv,,,,y,2021,,n,n,n,m,m,o,m,m,m,m,,,,,y,y,y,y,GCC 12,,y,,y
Zbb,bitmanip Zb[abcs],basic bitmanip,unpriv,,,,y,2021,,n,n,n,m,m,o,m,m,m,m,,,,,y,y,y,y,GCC 12,,y,,y
Zbc,bitmanip Zb[abcs],"carryless multiply (clmul, clmulh)",unpriv,,,,y,2021,,n,n,n,o,o,o,o,o,o,o,,,,,y,y,y,y,GCC 12,,y,,y
Zbkb,crypto scalar,crypto bitmanip,unpriv,,,,y,2021,,n,n,n,p,p,o,p,p,p,p,,,,,y,y,y,y,GCC 13,,y,,y
Zbkc,crypto scalar,crypto caryless multiply (see Zbc),unpriv,,,,y,2021,,n,n,n,p,p,o,p,p,p,p,,,,,y,y,y,y,GCC 13,,y,,y
Zbkx,crypto scalar,"crypto crossbar permutation (xperm4, xperm8)",unpriv,,,,y,2021,,n,n,n,p,p,o,p,p,p,p,,,,,y,y,y,y,GCC 13,,y,,y
Zbs,bitmanip Zb[abcs],single bits operations,unpriv,,,,y,2021,,n,n,n,m,m,o,m,m,m,m,,,,,y,y,y,y,GCC 12,,y,,y
Zca,code size,C subset not including any FP,unpriv,,,,n,2023,,n,n,n,n,n,n,n,n,n,n,,,,,n,dev,,,,,,,
Zcb,code size,"lh/sh, sign/zero extend, not, mul",unpriv,,D,,n,2023,,n,n,n,n,n,o,m,m,m,m,,,,,n,dev,,,,,,,
Zcd,code size,double precision FP C subset,unpriv,,F,"RV64I, RV64E",n,2023,,n,n,n,n,n,n,n,n,n,n,,,,,n,dev,,,,,,,
Zcf,code size,RV32 only: single precision FP C subset,unpriv,,,Zcd,n,2023,,n,n,n,n,n,n,n,n,n,n,,,,,n,dev,,,,,,,
Zcmop,,"Compressed (16-bit) ""maybe"" ops -- write 0 to x[rd]; provides backward compatibility for future (mostly CFI) extensions
",,,,,y,2024,Mar 28,n,n,n,n,n,?,m,m,m,m,,,,,,dev,,,,,,,
Zcmp,code size,"push/pop, move a0/a1",unpriv,,Zicsr,Zcd,n,2023,,n,n,n,n,n,n,n,n,n,n,,,,,n,dev,,,,,,,
Zcmt,code size,jump table,unpriv,,Zfinx,D,n,2023,,n,n,n,n,n,n,n,n,n,n,,,,,n,dev,,,,,,,
Zdinx,FP64 in INT regs,double-precision in INT regs (implies Zfinx),unpriv,,,,y,2021,,n,n,n,n,n,n,n,n,n,n,,,,,dev,y,,,GCC 13,,,,
Zfa,F,misc basic scalar FP,unpriv,zfhmin,F,,y,2023,,n,n,n,n,n,o,m,m,m,m,,,,,n,dev,,,,,,,
Zfbfmin,Zfbfmin,Scalar BF16 FP conversions,unpriv,,"Zfh ""s"" subset",,y,2024,June,n,n,n,n,n,o,o,o,o,o,,,,,n,dev,,,,,,,
Zfh,FP16,support the IEEE 754 binary16 floating-point format,unpriv,,F,,y,2021,,n,n,n,o,o,o,o,o,o,o,,,,,n,y,y,y,GCC 13,,y,,y
Zfhmin,FP16,Slim subset of Zfh providing only conversion and data-transfer instructions,unpriv,,Zicsr,F,y,2021,,n,n,n,m,m,o,m,m,o,o,,,,,n,y,y,y,GCC 13,,y,,y
Zfinx,FP32 in INT regs,single-precision in INT regs,unpriv,Zhinxmin,Zfinx,F,y,2021,,n,n,n,n,n,n,n,n,n,n,,,,,dev,y,y,dev,GCC 13,,dev,,y
Zhinx,FP16 in INT regs,Zdinx + 16 bit rep in base's x regs,unpriv,,Zfinx,F,y,2021,,n,n,n,n,n,n,n,n,n,n,,,,,dev?,y,,,GCC 13,,,,
Zhinxmin,FP16 conversions in INT regs,Zdinx + 16 bit rep in base's x regs,unpriv,,,"F, Zfh",y,2021,,n,n,n,n,n,n,n,n,n,n,,,,,dev?,y,,,GCC 13,,,,
Zic64b,CMO,"Cache blocks must be 64 bytes in size, naturally aligned in the address space",unpriv,,,,y,2021,,n,n,n,m,m,o,m,m,m,m,,,,,n,n,dev,y,,,dev,,y
Zicbom,CMO,Cache-Block Management Operations,unpriv,,,,y,2021,,n,n,n,m,m,o,m,m,m,m,,,,,n,dev,dev,y,GCC 13,,dev,,y
Zicbop,CMO,Cache-block prefetch ops,unpriv,,,,y,2021,,n,n,n,m,m,o,m,m,m,m,,,,,n,n,dev,y,GCC 13,,dev,,y
Zicboz,CMO,Cache-block zero ops,unpriv,,,,y,2021,,n,n,n,m,m,o,m,m,m,m,,,,,n,dev,dev,y,GCC 13,,dev,,y
Ziccamoa,profiles,"Main memory regions with both the cacheability and coherence PMAs must support all atomics in the ""A"" extension",unpriv,,,,n,2023,,n,m,m,m,m,o,m,m,m,m,,,,,n,n,,,,,,,
Ziccamoc,profiles,Main memory regions with both the cacheability and coherence PMAs must support atomics in the Zacas extension,unpriv,,,,n,2023,,n,m,m,m,m,o,o,o,o,o,,,,,n,n,,,,,,,
Ziccif,profiles,"Main memory regions with both the cacheability and coherence PMAs must support instruction fetch, and any instruction fetches of naturally aligned power-of-2 sizes up to min(ILEN,XLEN) (i.e., 32 bits for RVA20) are atomic",unpriv,,,,n,2023,,n,m,m,m,m,o,m,m,m,m,,,,,n,n,,,,,,,
Zicclsm,profiles,Misaligned loads and stores to main memory regions with both the cacheability and coherence PMAs must be supported.,unpriv,,,,n,2023,,o,m,m,m,m,o,m,m,m,m,,,,,n,n,,,,,,,
Ziccrse,profiles,Main memory regions with both the cacheability and coherence PMAs must support RsrvEventual,unpriv,,Zicsr,,n,2023,,n,m,m,m,m,o,m,m,m,m,,,,,n,n,,,,,,,
Zicfilp,,Landing Pads (companion to Zicfiss),unpriv,,,,y,2024,June,n,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,
Zicfiss,,Shadow Stack (companion to Zicfilp),unpriv,,,,y,2024,June,n,n,n,n,n,n,n,n,n,n,,,,,,dev,,,,,,,
Zicntr,Counters,"Unpriv standard counters (cycle, time, instret?)",unpriv,,,,y,2022,,o,m,m,m,m,o,m,m,m,m,,,,,n,y,,,,,,,
Zicntrpmf,,(per Beeman Stong: renamed Smcntrpmf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zicond,Conditional Ops,Integer Conditional (Zicond) operations extension,unpriv,,,,y,2023,,n,n,n,n,n,o,m,m,m,m,,m,m,,n,y,,,,,,,
Zicsr,Zicsr,access CSRs,unpriv,,,,y,2019,,n,m,m,m,m,o,m,m,m,m,,m,m,,n,y,,y,,,,,
Zifencei,Zifencei,instruction fence,unpriv,,,,y,2019,,o,n,m,n,m,n,n,m,n,m,,n,m,,y,y,y,y,GCC 12,,n,,y
Zihintntl,Zihintntl,Non-temporal locality hints,unpriv,,,,n,2023,,n,n,n,n,n,o,m,m,m,m,,m,m,,n,n,,,,,,,
Zihintpause,Zihintpause,pause in spins loops to save power,priv,,,,y,2021,,n,n,n,m,m,o,m,m,m,m,,m,m,,n,n,dev,y,,,y,,y
Zihpm,Priv 1.11,S mode priv instructions and state,unpriv,,,,y,2022,,o,o,o,m,m,o,m,m,m,m,,m,m,,n,dev,,,,,,,
Zilsf,,Load/Store regsister doubleword (pair of registers),unpriv,,,,n,2024,,n,n,n,n,n,n,n,n,n,n,,?,?,,,,,,,,,,
Zilsm*,???,Codification of esponse to misaligned loads and stores ,???,,,,n,,,n,n,n,n,n,,,,,,,,,,,,,,,,,,
Zilsme,???,misaligned access might raise a misaligned exception (causing a fatal or contained trap),???,,,,n,,,n,n,n,n,n,,,,,,,,,,,,,,,,,,
Zilsmea,???,misaligned access will always raise a misaligned exception (causing a fatal or contained trap),???,,,,n,,,n,n,n,n,n,,,,,,,,,,,,,,,,,,
Zilsm<x>b,???,"misaligned loads/stores supported within a single NAPOT x-byte region (e.g., Zilsm64b), but might raise an exception if the access straddles multiple x-byte regions",???,,,,n,,,n,n,n,n,n,,,,,,,,,,,,,,,,,,
Zilsp,,"Load/store register pair -- extension was renamed Zilsd (""d"" = ""doubleword"") ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimop,,"""Maybe"" ops -- write 0 to x[rd]; provides backward compatibility for future (mostly CFI) extensions
",,,,,y,2024,Mar 28,n,n,n,n,n,?,m,m,m,m,,,,,,dev,,,,,,,
Zjid,Zjid,instruction/data synch for JITs/Java ,unpriv,,,,n,2023,,n,n,n,n,n,n,n,n,n,n,,,,,n,n,,,,,,,
Zjpm,,"(split into Ssnpm, Smnpm, and Smmpm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zk,crypto scalar,Standard scalar cryptography extension,unpriv,"Zbkb, Zbkc, Zbkx, Zkne, Zknd, Zknh",,,y,2021,,n,n,n,n,n,n,n,n,n,n,,,,,y,y,y,y,gcc 12 (only minimal support and wait c-api merge),,y,,y
Zkn,crypto scalar,scalar nist crypto algorithms,unpriv,,,,y,2021,,n,n,n,o,o,n,n,n,n,n,n,n,n,,y,y,y,y,gcc 12 (only minimal support and wait c-api merge),,y,,y
Zknd,crypto scalar,NIST Suite: AES Decryption,unpriv,,,,y,2021,,n,n,n,p,p,n,n,n,n,n,,,,,y,y,y,y,GCC 13,,y,,y
Zkne,crypto scalar,NIST Suite: AES Encryption,unpriv,,,,y,2021,,n,n,n,p,p,n,n,n,n,n,,,,,y,y,y,y,GCC 13,,y,,y
Zknh,crypto scalar,NIST Suite: Hash Function Instructions,unpriv,,,,y,2021,,n,n,n,p,p,n,n,n,n,n,,,,,y,y,y,y,gcc 12 (only minimal support and wait c-api merge),,y,,y
Zkr,crypto scalar,entropy CSR,unpriv,"Zbkb, Zbkc, Zbkx, Zksed, Zksh",,,y,2021,,n,n,n,n,o,n,n,n,n,n,,,,,n,n,y,y,gcc 12 (only minimal support and wait c-api merge),,y,,y
Zks,crypto scalar,scalar ShangMi crypto algorithms,unpriv,,,,y,2021,,n,n,n,o,o,n,n,n,n,n,n,n,n,,y,y,y,y,gcc 12 (only minimal support and wait c-api merge),,y,,y
Zksed,crypto scalar,ShangMi Suite: SM4 Block Cipher Instructions,unpriv,,,,y,2021,,n,n,n,p,p,n,n,n,n,n,,,,,y,y,y,y,GCC 13,,y,,y
Zksh,crypto scalar,ShangMi Suite: SM3 Hash Function Instructions,unpriv,,,,y,2021,,n,n,n,p,p,n,n,n,n,n,,,,,y,y,y,y,GCC 13,,y,,y
Zkt,crypto scalar,data-independent execution time,unpriv,,,,y,2021,,n,n,n,m,m,?,m,m,m,m,,,,,n,y,y,y,gcc 12 (only minimal support and wait c-api merge),,y,,y
Zmmul,Zmmul,mul only subset of M,unpriv,,,,y,2022,,n,n,n,n,n,n,n,n,n,n,,,,,y,y,y,y,GCC 13,,dev,,dev
Ztso,Ztso,total store ordering (see also Ssdtso),unpriv,,,Ssdtso,y,2023,,n,n,n,n,n,n,n,n,n,n,,,,,y,y,,,,,,,
Zvbb,Crypto vector,Vector bitmanip basic,unpriv,Zvkb,,,y,2023,,n,n,n,n,n,o,m,m,o,o,,,,,n,dev,,,,,,,
Zvbc,Crypto vector,Vector bitmanip carry-less multiply,unpriv,,,,y,2023,,n,n,n,n,n,o,o,o,o,o,,m,m,,n,dev,,,,,,,
Zvbc32e,,Vector carryless MUL - add'l instructions,unpriv,,,,n,2024,,n,n,n,n,n,n,n,n,n,n,,?,?,,,,,,,,,,
